Grave_ID,Pottery_0B,Pottery_10A,Pottery_10B,Pottery_11A,Pottery_11B,Pottery_12A,Pottery_12B,Pottery_12C,Pottery_13A,Pottery_13B,Pottery_13C,Pottery_13D,Pottery_13E,Pottery_1A,Pottery_1B,Pottery_1C,Pottery_2A,Pottery_2B,Pottery_3A,Pottery_3B,Pottery_3E,Pottery_4A,Pottery_4B,Pottery_52,Pottery_5A,Pottery_5B,Pottery_5C,Pottery_5D,Pottery_5R,Pottery_6A,Pottery_6B,Pottery_6D,Pottery_7A,Pottery_7B,Pottery_7C,Pottery_7D,Pottery_8A,Pottery_8B,Pottery_8C,Pottery_9A,Pottery_9C,Pottery_nan,body_body to the left,body_body to the right,body_embryonic position,body_extended on back,body_nan,hands_hand extended,hands_hand near chin,hands_hand on head,hands_hands beside legs,hands_hands crossed on pelvis,hands_hands near pelvis,hands_hands on chest,hands_left hand beside leg,hands_left hand near pelvis,hands_right hand beside leg,hands_right hand near pelvis,hands_right hand on body,hands_nan,arm_ and arms in another,arm_ left arm straight,arm_arms in disorder,arm_arms straight,arm_left arm flexed,arm_left arm straight,arm_ribs and arms slightly disturbed,arm_right arm flexed,arm_right arm straight,arm_nan,head_face eastward,head_face upward,head_face upwards,head_face westward,head_fractional burial skull in NW,head_hand on head,head_sixteen skulls without bodies,head_skull collapsed,head_skull east of the left arm,head_skull higher in the box,head_skull missing,head_skull near the left shoulder,head_skull turned,head_nan,leg_legs and chest in one place,leg_legs crossed,leg_legs crossed at feet,leg_legs extended,leg_legs flexed,leg_legs in disorder,leg_legs missing,leg_nan,Burial Type_Clay floor,Burial Type_In debris,Burial Type_In sand,Burial Type_Libn box,Burial Type_Libn floor,Burial Type_Shaft tomb,Burial Type_in'ubaid deposit,Burial Type_nan,Age_Adult,Age_Child,Age_Elderly,Age_Infant,Age_Youth,Age_nan,Level,N_Individuals,N_Parure,N_Objects
23_23B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.7,2,5,0
24_24A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,5,0
24_24B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,5,0
25_25A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.2,1,5,0
26_26A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0
27_27A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0
28_28A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.4,1,5,0
29_29A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.4,1,5,0
30_30A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,2,6,1
30_30B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.15,2,5,0
