,% Non-Missing
Grave,100.0
Individual,100.0
Level,74.36974789915966
Orientation,76.05042016806723
Type,71.84873949579833
Sex,42.01680672268907
Age,85.29411764705883
Position,89.91596638655463
Size,32.35294117647058
Pottery types,70.58823529411765
Other objects,11.764705882352942
Presevation,67.64705882352942
Photo Diagram,0.0
Overlap,2.941176470588232
