Sex,0.10,0.15,0.20,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,1.00,1.10,1.20,1.25,1.30,1.35,1.40,1.50,1.51,1.60,1.70,1.75,1.80,1.90,2.00,2.25,2.30,2.50,Surface
Female,5,10,10,15,5,10,10,25,10,15,5,20,5,10,5,5,40,20,30,20,15,5,20,20,10,10,30,5,15,5,20,5,5,5,5
Male,10,10,5,15,5,10,5,15,5,30,5,15,5,10,5,5,10,15,25,30,5,5,5,15,5,5,15,5,10,5,15,15,5,5,5
